Filename,Drug Name,Cancer Type,Number of Patients,Treatment_OS,Control_OS,OS_Improvement (%),Treatment_PFS,Control_PFS,PFS_Improvement (%),Other Outcome Measures,Brief Study Summary,Formatted Study Results
page_109.txt,Mosunetuzumab-axgb (Lunsumio),Follicular lymphoma (FL),90,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '80%', 'DOR': '22.8 months (median)'}","Mosunetuzumab-axgb received accelerated approval for adult patients with relapsed or refractory follicular lymphoma. The study included 90 patients with an ORR of 80% and a median duration of response of 22.8 months. Common adverse reactions included cytokine release syndrome, fatigue, rash, pyrexia, and headache. The recommended dose and administration schedule were provided for the treatment.","In a study of 90 patients with relapsed or refractory follicular lymphoma, the objective response rate (ORR) to mosunetuzumab-axgb was 80%, with 60% achieving complete responses. The median duration of response (DOR) was 22.8 months, with DOR rates at 12 and 18 months being 62% and 57%, respectively. Overall survival (OS) and progression-free survival (PFS) data were not provided. However, serious side effects included cytokine release syndrome (CRS) in 39% of patients, neurologic toxicity in 39%, serious infections in 17%, and tumor flare in 4%. Grades 2-4 CRS occurred in 17.5% of patients. The study highlights promising response outcomes with mosunetuzumab-axgb in patients with relapsed or refractory follicular lymphoma, but also underscores the risk of serious side effects."
page_11.txt,zanidatamab-hrii (Ziihera),HER2-positive biliary tract cancer (BTC),62,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '52%', 'DOR': '14.9 months'}","Zanidatamab-hrii (Ziihera) received accelerated approval for previously treated HER2-positive biliary tract cancer. The major efficacy outcomes included an objective response rate of 52% and a median duration of response of 14.9 months. Common adverse reactions included diarrhea, infusion-related reactions, abdominal pain, and fatigue. The drug was granted priority review, breakthrough therapy designation, and orphan drug designation.",Efficacy and
page_110.txt,Nadofaragene firadenovec-vncg (Adstiladrin),Non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS),157,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Complete Response Rate': '51%', 'Median Duration of Response': '9.7 months', 'Percentage of patients in CR for at least one year': '46%'}","Nadofaragene firadenovec-vncg was approved for high-risk BCG-unresponsive NMIBC with CIS. In a study of 157 patients, the drug showed a complete response rate of 51% with a median duration of response of 9.7 months. 46% of responding patients remained in complete response for at least one year. Common adverse events included increased glucose, instillation site discharge, and fatigue.","In Study CS-003, 157 high-risk NMIBC patients received nadofaragene firadenovec-vncg treatment. 98 BCG-unresponsive CIS patients were evaluated for response. The study showed a 51% complete response rate with a median duration of response of 9.7 months. 46% of responding patients remained in complete response for at least one year. The treatment was well-tolerated with manageable toxicity. Overall survival and progression-free survival data were not provided in the study results."
page_111.txt,Capecitabine tablets (Xeloda),"Stage III colon cancer, locally advanced rectal cancer, metastatic colorectal cancer, advanced or metastatic breast cancer, gastric, esophageal, or gastroesophageal junction cancer, HER2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma, pancreatic adenocarcinoma",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,{},"The FDA approved updated labeling for capecitabine tablets (Xeloda) for various cancer types including colon, rectal, colorectal, breast, gastric, esophageal, gastroesophageal junction, and pancreatic adenocarcinoma. The labeling revisions include new indications, dosage regimen updates, removal of contraindications, and additional safety information. The drug is now approved for adjuvant, perioperative, and metastatic treatments in different cancer types, providing healthcare providers with updated information for patient care.",N/A
page_112.txt,Adagrasib (Krazati),Non-small cell lung cancer (NSCLC) with KRAS G12C mutations,112,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '43%', 'DOR': '8.5 months'}","Adagrasib (Krazati) received accelerated approval for adult patients with KRAS G12C-mutated locally advanced or metastatic NSCLC who have received prior systemic therapy. The approval was based on the KRYSTAL-1 trial, showing a 43% objective response rate and a median duration of response of 8.5 months. Common adverse reactions included diarrhea, nausea, fatigue, and hepatotoxicity.","In a study of 112 patients with advanced cancer who had previously received platinum-based chemotherapy and an immune checkpoint inhibitor, treatment with adagrasib showed promising results. The confirmed objective response rate (ORR) was 43%, with a median duration of response (DOR) of 8.5 months. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary. Adagrasib, given orally twice daily, demonstrated efficacy in patients with disease progression after prior treatments, suggesting it may be a valuable option for this patient population. Further research is needed to fully understand the impact of adagrasib on OS and PFS in this setting."
page_113.txt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Study ML39345 evaluated the efficacy of treatment in 49 patients with unresectable or metastatic ASPS. The overall response rate (ORR) was 24%, with 67% of responders having a duration of response (DOR) of 6 months or more, and 42% having a DOR of 12 months or more. The median age of patients was 31 years, with a majority being female and White. The study showed promising outcomes in terms of ORR and DOR in patients with ASPS, indicating potential benefits of the treatment in this population."
page_114.txt,olutasidenib (Rezlidhia),acute myeloid leukemia (AML) with IDH1 mutation,147,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'CR+CRh Rate': '35%', 'Median Time to CR+CRh': '1.9 months', 'Median Duration of CR+CRh': '25.9 months', 'Transfusion Independence Rate': {'Dependent Patients': '34%', 'Independent Patients': '64%'}, 'Common Adverse Reactions': ['nausea', 'fatigue/malaise', 'arthralgia', 'constipation', 'leukocytosis', 'dyspnea', 'fever', 'rash', 'mucositis', 'diarrhea', 'transaminitis'], 'Boxed Warning': 'Differentiation syndrome risk'}","Olutasidenib (Rezlidhia) was approved for adult patients with relapsed or refractory AML with IDH1 mutation. Efficacy was demonstrated by CR+CRh rate of 35%, median time to CR+CRh of 1.9 months, and median duration of CR+CRh of 25.9 months. Adverse reactions included nausea, fatigue, and differentiation syndrome risk.","The study showed a 35% rate of complete remission (CR) plus complete remission with partial hematologic recovery (CRh), with a median duration of 25.9 months. The rate of conversion from transfusion dependence to independence was 34% among patients dependent on transfusions at baseline and 64% among those already independent. The median time to achieve CR+CRh was 1.9 months. Overall survival (OS) and progression-free survival (PFS) were not specifically mentioned in the study results."
page_115.txt,Asparaginase erwinia chrysanthemi (recombinant)-rywn (Rylaze),Acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL),225,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': 'Not provided', 'DOR': 'Not provided'}",FDA approved a new dosing regimen for Rylaze in June 2021 for ALL and LBL patients with hypersensitivity to E. coli-derived asparaginase. Study JZP458-201 evaluated pharmacokinetics and efficacy of Rylaze. The drug demonstrated maintenance of nadir serum asparaginase activity in a high proportion of patients. Common adverse reactions included hematological and nonhematological effects. The study was part of Project Orbis and utilized the RTOR pilot program for streamlined data submission.,"The study evaluated the efficacy of maintaining nadir serum asparaginase activity (NSAA) above 0.1 U/mL in a virtual population. Results showed that with a Monday-Wednesday-Friday dosing regimen of Rylaze, 91.6% of patients maintained NSAA ≥ 0.1 U/mL after the 25 mg/m2 Wednesday dose and 91.4% after the 50 mg/m2 Friday dose. All patients experienced hematological side effects like neutropenia, anemia, or thrombocytopenia. Overall Survival (OS) and Progression-Free Survival (PFS) were not mentioned in the study results. Response outcomes such as Overall Response Rate (ORR), Duration of Response (DOR), Complete Response (CR), or Partial Response (PR) were also not reported."
page_116.txt,Mirvetuximab soravtansine-gynx (Elahere),"Folate receptor alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer",106,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '31.7%', 'Duration of Response (DOR)': '6.9 months'}","Mirvetuximab soravtansine-gynx received accelerated approval for adult patients with FRα positive, platinum-resistant ovarian, fallopian tube, or primary peritoneal cancer. Study 0417 included 106 patients with positive outcomes in ORR (31.7%) and median DOR of 6.9 months. Common adverse reactions included vision impairment, fatigue, and gastrointestinal issues. The drug is administered intravenously every three weeks until disease progression or unacceptable toxicity.","Study 0417 evaluated mirvetuximab soravtansine in 106 FRα positive, platinum-resistant ovarian cancer patients. The overall response rate (ORR) was 31.7% with a median duration of response (DOR) of 6.9 months. Progression-free survival (PFS) and overall survival (OS) data were not provided. The study excluded patients with certain eye and lung conditions. The treatment was generally well-tolerated, with manageable toxicity. Further research is needed to assess the impact on PFS and OS in this patient population."
page_117.txt,Tremelimumab (Imjudo) in combination with durvalumab (Imfinzi),Metastatic non-small cell lung cancer (NSCLC),675,14 months,11.7 months,19.66%,6.2 months,4.8 months,29.17%,"{'Overall Response Rate': {'Treatment Arm 1': '39%', 'Treatment Arm 3': '24%'}, 'Median Duration of Response': {'Treatment Arm 1': '9.5 months', 'Treatment Arm 3': '5.1 months'}}","Tremelimumab in combination with durvalumab and platinum-based chemotherapy showed a significant improvement in overall survival (OS) and progression-free survival (PFS) in patients with metastatic NSCLC compared to platinum-based chemotherapy alone. The treatment arm demonstrated a 19.66% improvement in OS and a 29.17% improvement in PFS, with an overall response rate of 39% and a median duration of response of 9.5 months.","In the POSEIDON study, patients with metastatic NSCLC who received tremelimumab, durvalumab, and platinum-based chemotherapy showed a significant improvement in overall survival (OS) compared to those who received platinum-based chemotherapy alone. The median OS was 14 months in the combination treatment group and 11.7 months in the chemotherapy-only group. Progression-free survival (PFS) was also longer in the combination treatment group (6.2 months) compared to the chemotherapy-only group (4.8 months). The overall response rate was higher in the combination treatment group (39%) compared to the chemotherapy-only group (24%), with a longer duration of response in the combination treatment group (9.5 months) compared to the chemotherapy-only group (5.1 months). These results suggest that the combination treatment is more effective in treating metastatic NSCLC."
page_118.txt,Brentuximab vedotin,Classical Hodgkin lymphoma (cHL),600,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Event-free Survival (EFS)': {'Median EFS': 'Not reached', 'Hazard Ratio': 0.41, '95% CI': '0.25, 0.67', 'p-value': 0.0002}, 'Adverse Reactions': {'Grade ≥3': ['Neutropenia', 'Anemia', 'Thrombocytopenia', 'Febrile neutropenia', 'Stomatitis', 'Infection']}}","Brentuximab vedotin in combination with chemotherapy showed a significant improvement in event-free survival for pediatric patients with high-risk classical Hodgkin lymphoma compared to standard treatment. Common Grade ≥3 adverse reactions included neutropenia, anemia, and febrile neutropenia.","In a study comparing brentuximab vedotin plus doxorubicin, vincristine, etoposide, prednisone, and cyclophosphamide (brentuximab vedotin + AVEPC) to doxorubicin, bleomycin, vincristine, etoposide, prednisone, and cyclophosphamide (ABVE-PC) in high-risk lymphoma patients, the brentuximab vedotin + AVEPC arm showed a significantly improved event-free survival (EFS) compared to the ABVE-PC arm (HR=0.41, p=0.0002). Overall survival (OS) and progression-free survival (PFS) data were not provided. The study did not report specific response outcomes such as overall response rate (ORR), duration of response (DOR), complete response (CR), or partial response (PR). The brentuximab vedotin + AVEPC regimen demonstrated promising efficacy in this patient population."
page_119.txt,Cemiplimab-rwlc (Libtayo),Non-small cell lung cancer (NSCLC),466,21.9 months,13.0 months,68.50%,8.2 months,5.0 months,64.00%,"{'Overall Response Rate (ORR)': '43%', 'Duration of Response (DOR)': 'Not provided'}","Cemiplimab-rwlc in combination with platinum-based chemotherapy showed a significant improvement in overall survival (OS) and progression-free survival (PFS) in adult patients with advanced NSCLC compared to placebo plus chemotherapy. The treatment arm demonstrated a 68.5% improvement in OS and a 64.0% improvement in PFS. Additionally, the overall response rate (ORR) was 43%. Common adverse reactions included alopecia, musculoskeletal pain, nausea, fatigue, peripheral neuropathy, and decreased appetite.","In Study 16113, cemiplimab-rwlc plus platinum-based chemotherapy showed a significant improvement in overall survival (OS) compared to placebo plus chemotherapy in advanced NSCLC patients. The median OS was 21.9 months with cemiplimab-rwlc plus chemotherapy versus 13.0 months with placebo plus chemotherapy. Progression-free survival (PFS) was also longer with cemiplimab-rwlc plus chemotherapy (8.2 months) compared to placebo plus chemotherapy (5.0 months). The overall response rate (ORR) was higher with cemiplimab-rwlc plus chemotherapy (43%) than with placebo plus chemotherapy (23%). These results suggest that cemiplimab-rwlc in combination with chemotherapy could be a beneficial treatment option for patients with advanced NSCLC who have not received prior systemic treatment."
page_12.txt,Fludarabine Phosphate Injection,B-cell chronic lymphocytic leukemia (CLL),Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,{},"Fludarabine Phosphate Injection received updated drug labeling for the treatment of adults with B-cell CLL who have not responded to or progressed during treatment with at least one alkylating-agent containing regimen. The dosage regimen was revised, and the boxed warning was removed. This update is part of the Project Renewal initiative to keep older oncology drugs' labeling up to date.",N/A
page_120.txt,Teclistamab-cqyv (Tecvayli),Multiple Myeloma,110,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '61.8%', 'DOR at 6 months': '90.6%', 'DOR at 9 months': '66.5%', 'Adverse Reactions': ['pyrexia', 'CRS', 'musculoskeletal pain', 'injection site reaction', 'fatigue', 'upper respiratory tract infection', 'nausea', 'headache', 'pneumonia', 'diarrhea'], 'Grade 3-4 Laboratory Abnormalities': ['decreased lymphocytes', 'decreased neutrophils', 'decreased white blood cells', 'decreased hemoglobin', 'decreased platelets']}","Teclistamab-cqyv (Tecvayli) received accelerated approval for adult patients with relapsed or refractory multiple myeloma who have received prior lines of therapy. The drug demonstrated an overall response rate of 61.8% and a duration of response rate of 90.6% at 6 months. Common adverse reactions included pyrexia, CRS, and musculoskeletal pain. Grade 3-4 laboratory abnormalities included decreased lymphocytes and neutrophils.","In a study of 110 heavily pretreated patients with multiple myeloma, the overall response rate (ORR) to teclistamab-cqyv was 61.8%. The estimated duration of response (DOR) at 6 months was 90.6% and at 9 months was 66.5%. However, the drug carries a Boxed Warning for life-threatening cytokine release syndrome (CRS) and neurologic toxicity, including immune effector cell-associated neurotoxicity (ICANS). Among patients, CRS occurred in 72%, neurologic toxicity in 57%, and ICANS in 6%. Grade 3 CRS occurred in 0.6% of patients and Grade 3 or 4 neurologic toxicity in 2.4%. Due to these risks, teclistamab-cqyv is only available through a restricted program under a Risk Evaluation and Mitigation Strategy (REMS)."
